Taxa	N methods replicated
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium	3
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;NA	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella	3
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis;NA	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;CHKCI002	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;NA	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;NA;NA	2
Bacteria;Actinobacteria;NA;NA;NA;NA	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Sanguibacteroides	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA	0
